"Date","Price","Open","High","Low","Vol.","Change %"
"03/23/2022","9.95","9.85","10.00","9.85","38.64M","1.02%"
"03/22/2022","9.85","9.80","9.85","9.80","44.15M","0.51%"
"03/21/2022","9.80","9.80","9.85","9.70","27.19M","0.00%"
"03/18/2022","9.80","10.40","10.05","9.45","29.51M","-5.77%"
"03/17/2022","10.40","10.40","10.50","10.40","8.98M","0.00%"
"03/16/2022","10.40","10.50","10.50","10.35","10.28M","-0.95%"
"03/15/2022","10.50","10.25","10.50","10.25","10.43M","2.44%"
"03/14/2022","10.25","10.15","10.25","10.15","5.98M","0.99%"
"03/11/2022","10.15","10.15","10.20","10.05","22.51M","0.00%"
"03/10/2022","10.15","10.10","10.20","10.10","15.35M","0.50%"
"03/09/2022","10.10","10.00","10.15","10.10","2.71M","1.00%"
"03/08/2022","10.00","10.15","10.20","10.00","12.55M","-1.48%"
"03/07/2022","10.15","10.15","10.50","10.15","23.06M","0.00%"
"03/04/2022","10.15","10.15","10.25","10.05","7.93M","0.00%"
"03/03/2022","10.15","10.20","10.25","10.15","10.17M","-0.49%"
"03/02/2022","10.20","10.40","10.40","10.20","17.65M","-1.92%"
"03/01/2022","10.40","10.35","10.40","10.30","9.84M","0.48%"
"02/28/2022","10.35","10.35","10.40","10.35","4.13M","0.00%"
"02/25/2022","10.35","10.20","10.35","10.25","2.02M","1.47%"
"02/24/2022","10.20","10.30","10.40","10.20","20.39M","-0.97%"
"02/23/2022","10.30","10.30","10.35","10.30","12.85M","0.00%"
"02/22/2022","10.30","10.40","10.40","10.30","26.78M","-0.96%"
"02/21/2022","10.40","10.35","10.45","10.35","6.92M","0.48%"
"02/18/2022","10.35","10.40","10.40","10.35","41.88M","-0.48%"
"02/17/2022","10.40","10.35","10.40","10.20","16.34M","0.48%"
"02/16/2022","10.35","10.35","10.40","10.30","47.88M","0.00%"
"02/15/2022","10.35","10.40","10.45","10.35","55.40M","-0.48%"
"02/14/2022","10.40","10.50","10.50","10.35","33.85M","-0.95%"
"02/11/2022","10.50","10.50","10.60","10.40","30.81M","0.00%"
"02/10/2022","10.50","10.50","10.50","10.35","14.29M","0.00%"
"02/09/2022","10.50","10.20","10.50","10.20","48.08M","2.94%"
"02/08/2022","10.20","10.30","10.30","10.20","10.17M","-0.97%"
"02/07/2022","10.30","10.20","10.30","10.20","8.04M","0.98%"
"02/04/2022","10.20","10.20","10.25","10.15","7.05M","0.00%"
"02/03/2022","10.20","10.20","10.45","10.10","7.45M","0.00%"
"02/02/2022","10.20","10.35","10.25","10.05","20.13M","-1.45%"
"02/01/2022","10.35","9.90","10.35","9.95","23.46M","4.55%"
"01/31/2022","9.90","9.85","10.00","9.85","12.95M","0.51%"
"01/28/2022","9.85","9.70","10.00","9.75","19.01M","1.55%"
"01/27/2022","9.70","9.70","9.75","9.60","6.40M","0.00%"
"01/26/2022","9.70","9.65","9.70","9.65","2.95M","0.52%"
"01/25/2022","9.65","9.75","9.75","9.65","14.93M","-1.03%"
"01/24/2022","9.75","9.75","9.75","9.75","17.07M","0.00%"
"01/21/2022","9.75","9.80","9.80","9.70","22.20M","-0.51%"
"01/20/2022","9.80","9.75","9.80","9.75","3.64M","0.51%"
"01/19/2022","9.75","9.70","9.75","9.75","12.22M","0.52%"
"01/18/2022","9.70","9.50","9.70","9.50","4.97M","2.11%"
"01/17/2022","9.50","9.50","9.60","9.50","2.55M","0.00%"
