"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2026","63.15","60.50","63.15","60.55","13.26M","4.38%"
"07/06/2026","60.50","55.00","60.50","58.00","8.37M","10.00%"
"07/03/2026","55.00","52.50","56.00","54.00","4.86M","4.76%"
"07/02/2026","52.50","57.20","55.50","52.50","5.53M","-8.22%"
"07/01/2026","57.20","56.05","58.00","57.20","5.13M","2.05%"
"06/30/2026","56.05","59.00","57.05","56.05","3.15M","-5.00%"
"06/29/2026","59.00","60.50","62.50","58.25","17.99M","-2.48%"
"06/26/2026","60.50","60.90","62.00","60.05","8.94M","-0.66%"
"06/25/2026","60.90","61.10","61.00","60.90","9.02M","-0.33%"
"06/24/2026","61.10","61.00","63.50","61.00","57.39M","0.16%"
"06/23/2026","61.00","60.50","64.95","60.30","17.13M","0.83%"
"06/22/2026","60.50","55.00","60.50","58.00","10.31M","10.00%"
"06/19/2026","55.00","61.00","61.80","55.00","9.66M","-9.84%"
"06/18/2026","61.00","60.50","62.00","60.50","115.84M","0.83%"
"06/17/2026","60.50","63.00","62.20","60.25","12.00M","-3.97%"
"06/16/2026","63.00","64.00","65.10","63.00","8.26M","-1.56%"
"06/15/2026","64.00","69.00","67.00","64.00","7.12M","-7.25%"
"06/11/2026","69.00","67.25","69.00","67.85","6.74M","2.60%"
"06/10/2026","67.25","69.00","69.05","67.00","8.47M","-2.54%"
"06/09/2026","69.00","63.60","69.00","64.50","16.46M","8.49%"
"06/08/2026","63.60","62.00","63.60","63.60","3.91M","2.58%"
"06/05/2026","62.00","62.15","62.10","62.00","9.50M","-0.24%"
"06/04/2026","62.15","58.25","63.90","62.15","8.35M","6.70%"
"06/03/2026","58.25","62.50","63.80","58.25","20.07M","-6.80%"
"06/02/2026","62.50","67.00","67.00","62.50","15.12M","-6.72%"
"06/01/2026","67.00","70.00","72.00","67.00","17.33M","-4.29%"
"05/29/2026","70.00","67.50","70.00","68.00","24.66M","3.70%"
"05/28/2026","67.50","67.50","67.50","67.50","9.10M","0.00%"
"05/26/2026","67.50","69.95","70.75","67.50","9.10M","-3.50%"
"05/25/2026","69.95","70.00","70.00","69.90","5.85M","-0.07%"
"05/22/2026","70.00","69.90","70.00","69.40","7.70M","0.14%"
"05/21/2026","69.90","70.00","70.00","68.50","6.54M","-0.14%"
"05/20/2026","70.00","72.95","72.95","69.80","15.95M","-4.04%"
"05/19/2026","72.95","70.30","72.95","71.50","13.54M","3.77%"
"05/18/2026","70.30","70.00","70.30","69.90","13.83M","0.43%"
"05/15/2026","70.00","71.80","73.10","70.00","58.65M","-2.51%"
"05/14/2026","71.80","71.20","74.50","70.15","75.64M","0.84%"
"05/13/2026","71.20","79.00","81.80","71.20","575.19M","-9.87%"
"05/12/2026","79.00","74.55","81.90","74.95","29.91M","5.97%"
"05/11/2026","74.55","67.80","74.55","68.20","148.93M","9.96%"
"05/08/2026","67.80","61.65","67.80","66.90","22.36M","9.98%"
"05/07/2026","61.65","61.00","64.25","61.05","6.21M","1.07%"
"05/06/2026","61.00","60.05","61.00","60.30","5.33M","1.58%"
"05/05/2026","60.05","62.40","61.30","60.05","19.53M","-3.77%"
"05/04/2026","62.40","64.65","64.10","62.05","27.73M","-3.48%"
"04/30/2026","64.65","65.00","65.00","64.60","8.02M","-0.54%"
"04/29/2026","65.00","68.20","69.80","65.00","45.04M","-4.69%"
"04/28/2026","68.20","62.00","70.00","62.00","8.19M","1.04%"
"04/27/2026","67.50","75.00","70.05","67.50","18.46M","-10.00%"
"04/24/2026","75.00","77.00","75.30","75.00","4.83M","-2.60%"
"04/23/2026","77.00","77.00","79.85","75.20","21.72M","0.00%"
"04/22/2026","77.00","71.00","77.00","68.50","76.64M","8.45%"
"04/21/2026","71.00","68.00","71.00","67.65","38.61M","4.41%"
"04/20/2026","68.00","64.00","70.40","64.50","70.17M","6.25%"
"04/17/2026","64.00","58.45","64.25","61.40","31.46M","9.50%"
"04/16/2026","58.45","53.45","58.45","54.20","11.67M","9.35%"
"04/15/2026","53.45","54.90","55.00","53.00","11.34M","-2.64%"
"04/14/2026","54.90","51.15","54.95","51.15","9.89M","7.33%"
"04/13/2026","51.15","52.05","51.80","51.10","3.16M","-1.73%"
"04/10/2026","52.05","52.10","52.10","52.00","3.64M","0.10%"
"04/09/2026","52.00","51.75","52.00","51.00","3.94M","0.48%"
"04/08/2026","51.75","54.55","52.55","51.05","4.78M","-5.13%"
"04/07/2026","54.55","50.00","55.00","50.00","62.96M","9.10%"
"04/02/2026","50.00","50.00","51.90","50.00","17.40M","0.00%"
"04/01/2026","50.00","50.00","51.90","50.00","59.43M","0.00%"
"03/31/2026","50.00","51.00","50.25","50.00","4.85M","-1.96%"
"03/30/2026","51.00","50.50","51.00","49.10","84.56M","0.99%"
"03/27/2026","50.50","51.00","50.60","50.50","5.47M","-0.98%"
"03/26/2026","51.00","51.50","51.50","50.90","7.24M","0.10%"
"03/25/2026","50.95","52.00","52.50","50.90","7.86M","-2.02%"
"03/24/2026","52.00","53.60","53.00","52.00","32.31M","-2.99%"
"03/23/2026","53.60","53.00","53.60","52.00","9.25M","1.13%"
"03/18/2026","53.00","52.00","53.00","51.50","10.73M","1.92%"
"03/17/2026","52.00","50.00","52.25","50.00","18.11M","4.00%"
"03/16/2026","50.00","50.00","50.85","50.00","67.03M","0.00%"
"03/13/2026","50.00","50.00","50.20","50.00","70.83M","0.00%"
"03/12/2026","50.00","50.00","50.00","49.80","27.72M","0.00%"
"03/11/2026","50.00","50.00","50.05","49.85","19.78M","0.00%"
"03/10/2026","50.00","50.00","50.25","50.00","7.73M","0.00%"
"03/09/2026","50.00","52.00","51.60","49.65","16.71M","-3.85%"
"03/06/2026","52.00","52.50","52.00","50.90","43.91M","-0.95%"
"03/05/2026","52.50","52.95","52.70","52.50","3.84M","-0.85%"
"03/04/2026","52.95","53.00","53.00","52.90","24.18M","-0.09%"
"03/03/2026","53.00","53.75","55.00","52.90","13.66M","-1.40%"
"03/02/2026","53.75","53.95","54.00","53.00","9.23M","-0.37%"
"02/27/2026","53.95","54.00","57.00","52.05","20.66M","-0.09%"
"02/26/2026","54.00","51.50","54.00","52.00","9.26M","4.85%"
"02/25/2026","51.50","56.20","56.50","51.05","14.52M","-8.36%"
"02/24/2026","56.20","56.00","57.00","56.00","15.80M","0.36%"
"02/23/2026","56.00","54.00","56.30","54.00","10.01M","3.70%"
"02/20/2026","54.00","52.00","54.00","52.00","10.88M","3.85%"
"02/19/2026","52.00","48.75","52.00","49.00","12.56M","6.67%"
"02/18/2026","48.75","48.50","48.95","48.50","5.47M","0.52%"
"02/17/2026","48.50","48.30","48.95","48.30","54.32M","0.41%"
"02/16/2026","48.30","48.15","49.00","48.05","8.11M","0.31%"
"02/13/2026","48.15","48.00","48.90","48.05","106.34M","0.31%"
"02/12/2026","48.00","48.00","48.90","47.90","4.41M","0.00%"
"02/11/2026","48.00","48.00","48.80","48.00","22.99M","0.00%"
"02/10/2026","48.00","47.10","49.75","47.60","38.61M","1.91%"
"02/09/2026","47.10","47.00","48.50","47.10","4.17M","0.21%"
"02/06/2026","47.00","49.75","49.75","47.00","7.43M","-5.53%"
"02/05/2026","49.75","48.75","50.00","49.00","6.89M","2.05%"
"02/04/2026","48.75","43.00","48.75","43.00","35.33M","9.92%"
"02/03/2026","44.35","41.05","45.15","41.60","26.42M","8.04%"
"02/02/2026","41.05","41.00","41.50","40.60","27.63M","-8.78%"
"01/30/2026","45.00","47.50","45.10","45.00","4.99M","-5.26%"
"01/29/2026","47.50","46.00","47.50","46.00","3.82M","3.26%"
"01/28/2026","46.00","47.05","47.10","46.00","4.58M","-2.23%"
"01/27/2026","47.05","49.00","47.30","47.05","3.71M","-3.98%"
"01/26/2026","49.00","49.00","49.00","49.00","4.19M","0.00%"
"01/23/2026","49.00","50.00","49.00","49.00","2.41M","-2.00%"
"01/22/2026","50.00","50.00","50.40","49.95","13.92M","0.00%"
"01/21/2026","50.00","50.00","50.45","49.05","10.71M","0.00%"
"01/20/2026","50.00","51.00","50.35","49.55","7.02M","-1.96%"
"01/19/2026","51.00","52.00","52.00","50.50","9.13M","-1.92%"
"01/16/2026","52.00","52.00","52.05","51.90","6.66M","0.00%"
"01/15/2026","52.00","50.00","52.50","51.50","23.04M","4.00%"
"01/14/2026","50.00","49.50","52.85","49.95","12.94M","1.01%"
"01/13/2026","49.50","48.50","49.50","48.20","7.68M","2.06%"
"01/12/2026","48.50","46.10","48.50","46.10","10.16M","5.21%"
"01/09/2026","46.10","47.00","47.00","46.10","7.49M","-1.91%"
"01/08/2026","47.00","48.00","47.75","47.00","3.37M","-2.08%"
"01/07/2026","48.00","48.45","49.00","47.90","9.63M","-0.93%"
"01/06/2026","48.45","48.95","49.00","48.35","10.50M","-1.02%"
"01/05/2026","48.95","48.80","49.65","48.35","9.58M","0.31%"
"01/02/2026","48.80","47.90","48.80","46.90","8.14M","1.88%"
"12/31/2025","47.90","44.40","47.90","41.00","28.08M","7.88%"
"12/30/2025","44.40","49.00","49.00","44.40","25.75M","-9.94%"
"12/29/2025","49.30","52.90","52.90","48.20","51.53M","-6.98%"
"12/24/2025","53.00","50.30","55.30","50.30","40.88M","5.37%"
"12/23/2025","50.30","45.00","50.35","45.00","45.81M","9.35%"
"12/22/2025","46.00","44.95","46.80","44.95","32.62M","2.34%"
"12/19/2025","44.95","42.65","46.90","42.65","52.15M","5.39%"
"12/18/2025","42.65","39.60","43.55","36.80","385.62M","7.70%"
"12/17/2025","39.60","36.00","39.60","36.00","108.15M","10.00%"
"12/16/2025","36.00","34.55","36.90","32.35","51.92M","4.20%"
"12/15/2025","34.55","31.45","34.55","30.15","28.59M","9.86%"
"12/12/2025","31.45","31.35","31.60","31.00","14.94M","0.32%"
"12/11/2025","31.35","31.70","31.35","31.05","20.20M","-1.10%"
"12/10/2025","31.70","31.65","31.70","31.55","5.47M","0.16%"
"12/09/2025","31.65","31.55","31.95","31.55","7.38M","0.32%"
"12/08/2025","31.55","31.50","31.55","31.50","6.38M","0.16%"
"12/05/2025","31.50","31.55","31.55","31.50","9.67M","-0.16%"
"12/04/2025","31.55","31.45","31.55","31.50","6.29M","0.32%"
"12/03/2025","31.45","31.05","31.45","31.45","2.71M","1.29%"
"12/02/2025","31.05","31.05","31.05","31.00","6.62M","0.00%"
"12/01/2025","31.05","31.05","31.05","30.85","3.71M","0.00%"
"11/28/2025","31.05","31.10","31.50","31.00","8.77M","-0.16%"
"11/27/2025","31.10","31.05","31.15","30.60","9.84M","0.16%"
"11/26/2025","31.05","31.00","31.10","31.00","62.78M","0.16%"
"11/25/2025","31.00","30.55","31.10","31.00","93.72M","1.47%"
"11/24/2025","30.55","30.60","30.60","30.10","5.93M","-0.16%"
"11/21/2025","30.60","30.10","30.60","30.15","3.89M","1.66%"
"11/20/2025","30.10","30.00","30.70","30.00","3.67M","0.33%"
"11/19/2025","30.00","30.15","30.05","30.00","2.26M","-0.50%"
"11/18/2025","30.15","30.00","30.15","30.00","5.46M","0.50%"
"11/17/2025","30.00","30.85","30.85","30.00","14.35M","-2.76%"
"11/14/2025","30.85","30.85","30.85","30.85","1.26M","0.00%"
"11/13/2025","30.85","31.00","31.55","30.85","6.49M","-0.48%"
"11/12/2025","31.00","31.55","31.70","31.00","4.78M","0.32%"
"11/11/2025","30.90","31.50","31.50","29.85","68.27M","-1.90%"
"11/10/2025","31.50","31.50","32.95","31.25","8.07M","0.00%"
"11/07/2025","31.50","31.50","31.65","31.10","8.65M","0.00%"
"11/06/2025","31.50","31.50","31.55","31.15","21.26M","0.00%"
"11/05/2025","31.50","31.50","31.50","31.50","7.55M","0.00%"
"11/04/2025","31.50","31.45","31.50","31.00","29.83M","0.16%"
"11/03/2025","31.45","31.50","31.50","31.45","5.51M","-0.16%"
"10/31/2025","31.50","31.70","31.50","31.50","1.61M","-0.63%"
"10/30/2025","31.70","31.50","31.70","31.50","1.75M","0.63%"
"10/29/2025","31.50","31.50","31.55","31.35","3.56M","0.00%"
"10/28/2025","31.50","31.50","31.90","31.40","37.73M","0.00%"
"10/27/2025","31.50","31.95","31.65","31.00","66.57M","-1.41%"
"10/24/2025","31.95","33.00","32.30","31.60","8.82M","-3.18%"
"10/23/2025","33.00","33.50","33.50","33.00","5.54M","-1.49%"
"10/22/2025","33.50","33.95","34.00","33.15","16.32M","-1.33%"
"10/21/2025","33.95","32.50","34.40","32.20","13.74M","4.46%"
"10/20/2025","32.50","31.40","32.50","31.60","4.40M","3.50%"
"10/17/2025","31.40","32.00","31.45","31.25","3.51M","-1.88%"
"10/16/2025","32.00","31.25","32.00","31.25","5.99M","2.40%"
"10/15/2025","31.25","31.25","31.55","31.20","16.60M","0.00%"
"10/14/2025","31.25","31.50","31.60","31.25","7.17M","-0.79%"
"10/13/2025","31.50","31.00","31.50","31.00","10.46M","1.61%"
"10/10/2025","31.00","31.10","31.00","31.00","11.31M","-0.32%"
"10/09/2025","31.10","31.00","31.10","31.00","12.39M","0.32%"
"10/08/2025","31.00","31.00","31.10","31.00","36.54M","0.00%"
"10/07/2025","31.00","31.00","31.15","30.95","6.17M","0.00%"
"10/06/2025","31.00","30.95","31.00","30.95","6.41M","0.16%"
"10/03/2025","30.95","31.00","31.00","30.90","4.47M","-0.16%"
"10/02/2025","31.00","31.50","31.50","30.90","111.80M","-1.59%"
"09/30/2025","31.50","31.00","31.50","31.00","15.53M","1.61%"
"09/29/2025","31.00","31.00","31.00","30.60","47.49M","0.00%"
"09/26/2025","31.00","31.00","31.00","30.85","23.21M","0.00%"
"09/25/2025","31.00","31.00","31.00","30.70","18.49M","0.00%"
"09/24/2025","31.00","30.70","31.00","30.50","46.11M","0.98%"
"09/23/2025","30.70","31.30","31.45","30.65","100.99M","-1.92%"
"09/22/2025","31.30","31.90","31.30","31.30","7.61M","-1.88%"
"09/19/2025","31.90","32.00","32.00","31.70","18.02M","-0.31%"
"09/18/2025","32.00","32.35","32.25","32.00","6.17M","-1.08%"
"09/17/2025","32.35","30.80","32.35","31.00","22.53M","5.03%"
"09/16/2025","30.80","30.80","30.80","30.80","4.77M","0.00%"
"09/15/2025","30.80","31.60","31.90","30.80","8.05M","-2.53%"
"09/12/2025","31.60","31.00","31.70","31.20","4.54M","1.94%"
"09/11/2025","31.00","30.50","31.10","30.80","7.30M","1.64%"
"09/10/2025","30.50","30.50","30.50","30.20","12.15M","0.00%"
"09/09/2025","30.50","30.50","30.70","30.00","44.23M","0.00%"
"09/08/2025","30.50","32.30","30.60","30.50","25.91M","-5.57%"
"09/04/2025","32.30","32.10","32.30","32.05","2.76M","0.62%"
"09/03/2025","32.10","32.10","32.10","32.00","4.86M","0.00%"
"09/02/2025","32.10","32.30","32.40","32.05","4.75M","-0.62%"
"09/01/2025","32.30","32.50","32.50","32.10","6.63M","-0.62%"
"08/29/2025","32.50","32.55","32.50","32.20","19.93M","-0.15%"
"08/28/2025","32.55","32.50","32.75","32.50","46.26M","0.15%"
"08/27/2025","32.50","32.50","32.50","32.40","35.78M","0.00%"
"08/26/2025","32.50","32.50","32.55","32.50","6.97M","0.00%"
"08/25/2025","32.50","32.50","32.55","29.25","7.00M","0.00%"
"08/22/2025","32.50","32.50","32.95","32.50","19.05M","0.00%"
"08/21/2025","32.50","32.50","32.50","32.45","3.64M","0.00%"
"08/20/2025","32.50","32.50","32.50","32.45","9.05M","0.00%"
"08/19/2025","32.50","32.50","32.55","32.45","14.09M","0.00%"
"08/18/2025","32.50","32.85","33.00","32.30","9.70M","-1.07%"
"08/15/2025","32.85","32.85","32.90","32.80","23.96M","0.00%"
"08/14/2025","32.85","32.80","33.00","32.30","22.02M","0.15%"
"08/13/2025","32.80","32.55","32.80","32.60","17.42M","0.77%"
"08/12/2025","32.55","32.60","32.70","32.10","10.99M","-0.15%"
"08/11/2025","32.60","32.95","32.90","32.00","4.45M","-1.06%"
"08/08/2025","32.95","32.40","33.00","32.40","7.44M","1.70%"
"08/07/2025","32.40","32.40","32.60","32.00","8.61M","0.00%"
"08/06/2025","32.40","32.00","33.00","31.90","26.30M","1.25%"
"08/05/2025","32.00","33.60","34.00","32.00","22.17M","-4.76%"
"08/04/2025","33.60","33.40","33.75","33.35","10.59M","0.60%"
"08/01/2025","33.40","32.25","33.45","32.30","9.02M","3.57%"
"07/31/2025","32.25","34.90","33.90","31.45","20.13M","-7.59%"
"07/30/2025","34.90","35.15","35.00","34.50","13.89M","-0.71%"
"07/29/2025","35.15","35.05","35.35","35.00","12.26M","0.29%"
"07/28/2025","35.05","36.20","36.00","35.00","8.62M","-3.18%"
"07/25/2025","36.20","35.15","37.50","36.20","20.82M","2.99%"
"07/24/2025","35.15","32.00","35.15","33.00","17.10M","9.84%"
"07/23/2025","32.00","32.00","32.00","31.50","11.09M","0.00%"
"07/22/2025","32.00","33.40","33.30","32.00","14.98M","-4.19%"
"07/21/2025","33.40","33.95","33.95","33.00","21.47M","-1.62%"
"07/18/2025","33.95","35.40","36.45","33.95","32.70M","-4.10%"
"07/17/2025","35.40","34.00","35.40","33.10","86.42M","9.94%"
"07/16/2025","32.20","29.30","32.20","29.50","33.20M","9.90%"
"07/14/2025","29.30","29.15","29.75","29.15","24.09M","0.51%"
"07/11/2025","29.15","29.05","29.50","29.10","8.78M","0.34%"
"07/10/2025","29.05","28.75","29.05","28.45","8.84M","1.04%"
"07/09/2025","28.75","29.95","28.90","28.10","12.76M","-4.01%"
"07/08/2025","29.95","28.00","29.95","27.05","19.01M","6.96%"
"07/07/2025","28.00","25.50","28.00","25.50","20.96M","9.80%"
"07/04/2025","25.50","26.00","25.95","25.45","6.05M","-1.92%"
"07/03/2025","26.00","26.05","26.00","25.85","8.09M","-0.19%"
"07/02/2025","26.05","26.05","26.05","25.65","3.91M","0.00%"
"07/01/2025","26.05","25.50","26.05","25.50","3.07M","0.19%"
"06/30/2025","26.00","26.20","26.80","26.00","6.00M","-0.76%"
"06/27/2025","26.20","26.50","28.00","26.15","6.19M","-1.13%"
"06/26/2025","26.50","27.40","27.40","26.50","11.57M","-3.28%"
"06/25/2025","27.40","26.90","27.40","26.75","5.10M","1.86%"
"06/24/2025","26.90","28.00","27.25","26.90","3.90M","-3.93%"
"06/23/2025","28.00","26.95","28.00","26.55","7.14M","3.90%"
"06/20/2025","26.95","26.85","27.20","26.00","21.87M","0.37%"
"06/19/2025","26.85","25.40","27.00","25.80","11.73M","5.71%"
"06/18/2025","25.40","25.40","25.70","25.20","16.98M","0.00%"
"06/17/2025","25.40","26.50","25.65","25.00","22.06M","-4.15%"
"06/16/2025","26.50","28.20","26.95","25.40","27.64M","-6.03%"
"06/13/2025","28.20","29.80","29.70","28.00","27.28M","-5.37%"
"06/11/2025","29.80","29.80","30.05","29.75","15.03M","0.00%"
"06/10/2025","29.80","29.40","30.00","29.10","20.48M","1.36%"
"06/05/2025","29.40","28.50","29.55","28.75","19.68M","3.16%"
"06/04/2025","28.50","27.75","28.55","26.75","16.46M","2.70%"
"06/03/2025","27.75","25.50","28.00","25.00","19.70M","8.82%"
"06/02/2025","25.50","25.00","25.60","25.25","4.43M","2.00%"
"05/30/2025","25.00","25.45","25.35","25.00","9.40M","-1.77%"
"05/29/2025","25.45","25.50","25.50","25.35","5.64M","-0.20%"
"05/28/2025","25.50","25.75","26.00","25.50","4.73M","-0.97%"
"05/27/2025","25.75","25.70","25.85","25.70","9.85M","0.19%"
"05/26/2025","25.70","25.10","25.90","25.55","6.57M","2.39%"
"05/23/2025","25.10","24.75","25.35","24.80","12.80M","1.41%"
"05/22/2025","24.75","24.50","24.75","24.60","8.03M","1.02%"
"05/21/2025","24.50","24.80","25.20","24.50","4.52M","-1.21%"
"05/20/2025","24.80","25.00","25.00","24.80","4.86M","-0.80%"
"05/19/2025","25.00","24.95","25.15","25.00","5.43M","0.20%"
"05/16/2025","24.95","24.85","25.00","24.60","6.25M","0.40%"
"05/15/2025","24.85","24.85","24.95","24.70","3.57M","0.00%"
"05/14/2025","24.85","25.05","25.05","24.85","5.29M","-0.80%"
"05/13/2025","25.05","25.30","25.05","25.05","4.46M","-3.28%"
"05/12/2025","25.90","25.65","25.90","25.50","7.43M","0.97%"
"05/09/2025","25.65","25.55","26.00","25.55","10.93M","0.39%"
"05/08/2025","25.55","25.00","25.65","25.00","22.71M","2.20%"
"05/07/2025","25.00","24.75","25.05","24.00","12.57M","1.01%"
"05/06/2025","24.75","24.70","25.00","24.55","3.40M","0.20%"
"05/05/2025","24.70","24.80","25.00","24.70","106.04M","-0.40%"
"05/02/2025","24.80","24.85","25.10","24.70","5.35M","-0.20%"
"04/30/2025","24.85","24.55","25.00","24.45","6.85M","1.22%"
"04/29/2025","24.55","24.60","24.95","24.50","8.00M","-0.20%"
"04/28/2025","24.60","25.00","25.00","24.60","4.36M","-1.60%"
"04/25/2025","25.00","25.00","25.00","24.95","5.12M","0.00%"
"04/24/2025","25.00","25.15","25.10","25.00","6.58M","-0.60%"
"04/23/2025","25.15","23.75","25.15","23.80","4.24M","5.89%"
"04/22/2025","23.75","24.60","24.00","23.70","7.95M","-3.46%"
"04/17/2025","24.60","25.00","25.10","24.60","3.09M","-1.60%"
"04/16/2025","25.00","24.40","26.50","24.50","6.37M","2.46%"
"04/15/2025","24.40","25.00","25.05","24.40","3.99M","-2.40%"
"04/14/2025","25.00","25.00","25.50","25.00","5.67M","0.00%"
"04/11/2025","25.00","25.10","25.15","25.00","7.57M","-0.40%"
"04/10/2025","25.10","24.65","25.20","25.00","5.86M","1.83%"
"04/09/2025","24.65","25.25","25.95","24.65","3.29M","-2.38%"
"04/08/2025","25.25","24.35","25.90","24.70","8.18M","3.70%"
"04/07/2025","24.35","26.00","24.35","23.55","5.27M","-6.35%"
"04/04/2025","26.00","26.05","27.00","26.00","4.74M","-0.19%"
"04/03/2025","26.05","27.30","27.45","26.05","5.18M","-4.58%"
"04/02/2025","27.30","28.15","28.00","27.00","5.47M","-3.02%"
"03/28/2025","28.15","28.00","28.15","28.15","2.15M","0.54%"
"03/27/2025","28.00","28.70","28.40","28.00","2.37M","-2.44%"
"03/26/2025","28.70","28.90","28.90","28.70","3.52M","-0.69%"
"03/25/2025","28.90","28.55","29.00","28.65","8.14M","1.23%"
"03/24/2025","28.55","27.00","29.40","28.00","4.66M","5.74%"
"03/21/2025","27.00","27.00","27.00","27.00","1.32M","0.00%"
"03/20/2025","27.00","27.25","27.20","26.75","2.13M","-0.92%"
"03/19/2025","27.25","27.90","27.30","27.10","5.92M","-2.33%"
"03/18/2025","27.90","28.55","28.00","27.50","3.73M","-2.28%"
"03/17/2025","28.55","28.60","28.55","28.55","2.17M","-0.17%"
"03/14/2025","28.60","28.60","29.00","28.60","2.95M","0.00%"
"03/13/2025","28.60","28.60","28.85","28.60","3.70M","0.00%"
"03/12/2025","28.60","28.95","28.75","28.60","2.43M","-1.21%"
"03/11/2025","28.95","28.50","29.00","28.70","5.75M","1.58%"
"03/10/2025","28.50","29.30","29.20","28.50","3.67M","-2.73%"
"03/07/2025","29.30","29.50","29.50","29.30","2.40M","-0.68%"
"03/06/2025","29.50","28.25","29.50","28.05","11.52M","4.42%"
