date,FIRSTBANK,GTB,ACCESS,ZENITH,UBA
2012-01-23,,,,12.0,
2012-01-24,,,,11.96,
2012-01-25,,,,12.0,
2012-01-26,,,,12.02,
2012-01-27,,,,12.1,
2012-01-30,,,,12.01,
2012-01-31,9.95,,,12.45,
2012-02-01,10.44,,,12.01,
2012-02-02,10.49,,,12.17,
2012-02-03,10.51,,,12.4,
2012-02-07,10.32,,,12.4,
2012-02-08,10.05,13.95,,12.17,
2012-02-09,10.13,13.53,,12.25,
2012-02-10,10.16,13.7,,12.28,
2012-02-13,10.0,13.7,,12.25,
2012-02-14,10.5,14.06,,12.25,
2012-02-15,10.51,14.05,,12.23,
2012-02-16,10.61,14.18,,12.26,
2012-02-17,10.75,14.21,,12.28,
2012-02-20,10.93,14.04,,12.25,
2012-02-21,11.37,14.02,,12.33,
2012-02-22,11.5,14.1,,12.5,
2012-02-23,12.07,14.0,,13.12,
2012-02-24,12.3,14.1,,13.35,
2012-02-27,11.8,14.15,,13.29,
2012-02-28,11.21,14.21,,13.2,
2012-02-29,10.79,14.06,7.21,13.33,
2012-03-01,11.11,14.11,7.36,13.51,
2012-03-02,11.39,14.25,7.5,14.05,
2012-03-05,11.59,14.38,7.47,13.82,
2012-03-06,11.25,14.6,7.17,13.65,2.82
2012-03-07,11.26,14.66,6.98,13.66,2.68
2012-03-08,11.06,14.5,6.84,13.9,2.55
2012-03-09,11.0,14.44,6.7,13.56,2.5
2012-03-12,10.95,14.58,6.74,13.71,2.63
2012-03-13,10.6,14.25,6.44,13.21,2.57
2012-03-14,10.5,14.0,6.35,13.15,2.57
2012-03-15,10.1,14.05,6.11,12.91,2.45
2012-03-16,10.41,14.22,6.42,13.01,2.54
2012-03-19,10.4,14.11,6.44,13.1,2.49
2012-03-20,9.97,14.15,6.32,13.0,2.55
2012-03-21,10.46,14.15,6.09,13.0,2.61
2012-03-22,10.98,14.52,6.4,13.4,2.65
2012-03-23,,14.3,6.5,13.7,2.56
2012-03-26,10.15,14.25,6.47,12.75,2.56
2012-03-27,10.35,14.12,6.47,12.3,2.53
2012-03-28,10.11,14.4,6.15,12.35,2.49
2012-03-29,10.0,14.34,5.93,12.4,2.49
2012-03-30,10.03,13.49,5.8,12.4,2.47
2012-04-02,9.53,13.8,5.51,12.4,2.47
2012-04-03,9.85,14.39,5.78,13.0,2.47
2012-04-04,10.0,14.56,6.06,13.2,2.53
2012-04-05,9.72,14.5,6.18,13.16,2.53
2012-04-10,9.51,14.55,6.13,13.08,2.53
2012-04-11,9.6,14.5,5.9,12.9,2.48
2012-04-12,9.26,14.52,5.7,12.91,2.49
2012-04-13,9.11,14.54,5.41,13.0,2.49
2012-04-17,9.72,14.56,5.64,12.9,2.38
2012-04-18,10.2,14.68,5.46,12.92,2.43
2012-04-19,10.71,15.41,5.73,13.02,2.54
2012-04-20,11.0,15.72,5.89,13.67,2.66
2012-04-23,10.88,15.65,5.86,14.1,2.8
2012-04-24,10.6,15.6,5.7,14.0,2.93
2012-04-25,10.7,15.4,5.8,13.85,3.07
2012-04-26,10.75,15.6,5.89,14.17,3.22
2012-04-27,10.78,15.97,5.73,14.13,3.38
2012-04-30,9.98,16.02,5.77,14.16,3.55
2012-05-02,10.47,16.82,6.05,14.86,3.54
2012-05-03,10.99,17.25,6.35,15.59,3.71
2012-05-04,11.53,17.04,6.66,15.53,3.9
2012-05-07,11.62,16.7,6.88,14.9,4.09
2012-05-08,11.5,16.98,6.73,15.3,3.89
2012-05-09,10.93,16.5,6.4,15.18,3.69
2012-05-10,11.1,16.3,6.54,15.0,3.51
2012-05-11,11.3,16.25,6.58,14.99,3.68
2012-05-14,11.1,16.25,6.75,14.95,3.87
2012-05-15,10.63,15.87,6.56,14.95,3.77
2012-05-16,10.75,16.21,6.66,14.69,3.68
2012-05-17,10.62,15.99,6.63,14.64,3.78
2012-05-18,10.51,15.9,6.73,14.85,3.87
2012-05-21,10.6,15.95,6.75,14.85,4.03
2012-05-22,10.9,15.9,6.78,14.88,3.97
2012-05-23,11.29,15.85,6.73,15.0,3.88
2012-05-24,11.2,15.74,6.71,14.9,3.87
2012-05-25,11.41,15.7,6.55,14.8,3.87
2012-05-28,11.5,15.56,6.38,14.7,3.95
2012-05-30,11.5,15.4,6.47,14.5,3.95
2012-05-31,11.52,15.0,6.58,13.99,3.95
2012-06-01,11.5,15.19,6.77,13.45,3.87
2012-06-04,11.51,15.0,6.44,13.25,3.77
2012-06-05,11.31,14.87,6.14,13.4,3.61
2012-06-06,11.33,15.14,6.33,14.0,3.53
2012-06-07,11.31,15.4,6.23,13.7,3.6
